COUNTRY,COAL MINE
USA,Liberty Management 8 Mine
USA,Lowsplint Surface Mine
USA,Manchester Complex
USA,McCollum Mine
USA,Mellon 5 Coal Mine
USA,Metech 102 Coal Mine
USA,Mine 3 Coal Mine
USA,Mine No. 1 (PA)
USA,Mine No. 1 (WV)
USA,Mountaineer 1 Mine
USA,NEV 1 Coal Mine
USA,Newhall Surface Mine No. 2
USA,No. 1 Strip Mine (G&S)
USA,No. 1 Surface Mine (MD)
USA,No. 1 Surface Mine (WV)
USA,No. 3 Mine
USA,No. 4 Mine
USA,Noble Coal Mine 2
USA,OAM 40 Coal Mine
USA,Piney Branch Surface Mine
USA,Pocahontas Highwall Mine
USA,Pocahontas Hwm 53 Coal Mine
USA,Potomac-North Mine
USA,Pratt No.1 Coal Mine
USA,RCR 1 Coal Mine
USA,Reese No 1 & 2 Strip Mine
USA,Richards Mine
USA,River Hill Coal Mine
USA,Rockton/Shaffer Mine
USA,Salem Auger #41 Mine
USA,Salem Auger No. 28 Mine
USA,Salem Auger No. 54 Mine
USA,Saylor Coal Mine
USA,Shamrock Mine
USA,Shawver Operation Mine
USA,SHM 67 Coal Mine
USA,SHM 06 Highwall Mine
USA,SHM 1 Coal Mine
USA,SHM 12 Highwall Miner Mine
USA,SHM 46 Highwall Mine
USA,SHM-14 Coal Mine
USA,SHM-70 Coal Mine
USA,SHM-75 Coal Mine
USA,SHM-82 Coal Mine
USA,Skyway II Mine
USA,Skyway III Mine
USA,Sloan Mountain No. 3
USA,Southeastern Auger No. 1 Mine
USA,Stave Hollow Mine
USA,Stonecreek Coal Mine
USA,Sturgeon Freeman Fork Mine
USA,Surface 4 Coal Mine
USA,Swann's Crossing Mine
USA,T & B Strip Mine
USA,Tackett Creek 2 Coal Mine
USA,Trace Fork Coal Mine
USA,True Energy Fuels Mine No. 2
USA,Virginia Point No. 1 Surface Mine
USA,Walker Coal Mine (MD)
USA,Waroquier 1 Mine
USA,Weller Coal Mine
USA,White Oak Coal Mine (KY)
USA,Wilburn Coal Mine
USA,Windmillgap Surface Mine
USA,Witcher Creek Surface Mine
USA,Wolf Mountain Coal-Spring Creek Mine
USA,Woolridge 4 Coal Mine
USA,Worthville Coal Mine
USA,Wymps Gap Surface Coal Mine
USA,Yenzi Strip 3 Coal Mine
China,Inner Mongolia Ordos Taisheng Coal Mine
China,Inner Mongolia Ningfa No.1 Coal Mine
China,Heilongjiang Heihe Heibaoshan Coal Mine
China,Liaoning Xilutian Surface Coal Mine
Indonesia,ABB Coal Mine
Indonesia,Bumi Barito Mineral Coal Mine
Indonesia,GAM Coal Mine
Indonesia,KPC Operation Coal Mine
Indonesia,Tambang Damai Coal Mine
Indonesia,MPP Coal Mine
Indonesia,Satui Coal Mine
Kazakhstan,Bogatyr Coal Mine (Kazakhstan)
Kazakhstan,Bogatyr Coal Mine (Kazakhstan)
Kazakhstan,Kuu-Check Coal Mine
Kazakhstan,Severny Coal Mine
Kazakhstan,Severny Coal Mine
Kazakhstan,Vostochny Coal Mine (Kazakhstan)
Mongolia,Baganuur Coal Mine
Mongolia,Baruun Naran Coal Mine
Mongolia,Khushuut Coal Mine
Mongolia,Nariin Sukhait Coal Mine
Mongolia,Nuurstei Coal Mine
Mongolia,Ovoot Tolgoi Coal Mine
Mongolia,Tavan Tolgoi Coal Mine
Mongolia,Ukhaa Khudag Coal Mine
Mozambique,Benga Coal Mine
Mozambique,Benga Coal Mine
Mozambique,Chirodzi Coal Mine
Mozambique,Chirodzi Coal Mine
Mozambique,Moatize Coal Mine
Mozambique,Revuboe Coal Mine
Mozambique,Zambezi Coal Mine
Russia,"Amaam North ""Project F"" Coal Mine"
Russia,"Amaam North ""Project F"" Coal Mine"
Russia,Apsatsky Coal Mine
Russia,Apsatsky Coal Mine
Russia,Bachatsky Coal Mine
Russia,Barzasskoye Tovarischestvo Coal Mine
Russia,Barzasskoye Tovarischestvo Coal Mine
Russia,Berezovsky Coal Mine
Russia,Bunguro-Listvyansky 2-4 Coal Mine
Russia,Tugnuisky Coal Mine
Russia,Tugnuisky Coal Mine
Russia,Chernigovets Coal Mine
Russia,Chernigovets Coal Mine
Russia,Elegest Coal Mine
Russia,Elginskiy Coal Mine
Russia,Elginskiy Coal Mine
Russia,Glushinsky Coal Mine
Russia,Inaglinsky Surface Coal Mine
Russia,Kaa-Khemsky Coal Mine
Russia,Kaa-Khemsky Coal Mine
Russia,Kamyshansky-West Coal Mine
Russia,Karakansky-Zapadny Coal Mine
Russia,Kedrovskiy Coal Mine
Russia,Kiyzassky Coal Mine
Russia,Kiyzassky Coal Mine
Russia,Krasnobrodsky Coal Mine
Russia,Krasnobrodsky Coal Mine
Russia,Krasnogorsk Coal Mine
Russia,Kuprinsky Coal Mine
Russia,Kusheyakovsky Novy Coal Mine
Russia,Neryungrinsky Coal Mine
Russia,Neryungrinsky Coal Mine
Russia,Novokazansky-2 Coal Mine
Russia,Omsukchan Coal Mine
Russia,Permyakovsky Coal Mine
Russia,Polyany Coal Mine
Russia,Polyany Coal Mine
Russia,Pravoberezhny Coal Mine
Russia,Pravoberezhny Coal Mine
Russia,Pravoberezhny Coal Mine
Russia,Razrez Raspadsky Coal Mine
Russia,Rechnoy Coal Mine
Russia,Shestaki Coal Mine
Russia,Sibirginsky Surface Coal Mine
Russia,Sinklinalny 2 Coal Mine
Russia,Sugodinsk-Ogodzhinsky Coal Mine
Russia,Sugodinsk-Ogodzhinsky Coal Mine
Russia,Taldinsky Coal Mine
Russia,Koksovy Kiselyovsk Coal Mine
Russia,Verkhneteshsky Coal Mine
Russia,Vostochny (Salek) Coal Mine
Russia,Syradasaysky Coal Mine
Russia,Syradasaysky Coal Mine
Russia,Zarechny Coal Mine
Russia,Zashulansky Coal Mine
Russia,Zashulansky Coal Mine
South Africa,Alexander Coal Project
South Africa,Berenice-Cygnus Coal Mine
South Africa,Boikarabelo Coal Mine
South Africa,Eloff Coal Project
South Africa,Goedgevonden Coal Mine
South Africa,Grootegeluk Coal Mine
South Africa,Isibonelo Coal Mine
South Africa,Iyanga Coal Mine Cluster
South Africa,Khanyisa Colliery
South Africa,Khwezela Coal Mine
South Africa,Khwezela Coal Mine
South Africa,Klipspruit Coal Mine
South Africa,Mafube Colliery
South Africa,Makhado Coal Mine
South Africa,Makhado Coal Mine
South Africa,Moabsvelden Coal Mine
South Africa,New Largo Coal Mine
South Africa,New Vaal Coal Mine
South Africa,Rirhandzu Colliery
South Africa,Stuart Colliery
South Africa,Vele Colliery
South Africa,Middelburg Mining Services (MMS)
Indonesia,Arantiga Coal Mine
Indonesia,BPA Coal Mine
Indonesia,DKB Coal Mine
Indonesia,Kartika Selabumi Coal Mine
Indonesia,MCM Coal Mine
Indonesia,Megaprima Persada Coal Mine
Indonesia,Padang Mulia Coal Mine
Indonesia,Saptajaya Menjak Sengewari Coal Mine
Indonesia,Seluang Coal Mine
Indonesia,Senakin Coal Mine
Mongolia,Shinejinst Coal Mine
Russia,Bungursky-Severny Coal Mine
Russia,Denisovsky Surface Coal Mine
Russia,Korchakolsky Coal Mine
Russia,Korchakolsky Coal Mine
Russia,Kuznetsky Yuzhny Coal Mine
Russia,Kuznetsky Yuzhny Coal Mine
Russia,Kyrgaisky-Sredniy Coal Mine
Russia,Lokuchakitsky Coal Mine
